#,Nome,Sq.,R.,PGv,MV,FM
6164,Vitinha O.,Genoa,A,19,5.97,6.42
5687,Vlasic,Torino,C,23,6.0,6.67
5735,Volpato,Sassuolo,C,12,6.25,6.75
5610,Vranckx,Sassuolo,C,12,5.62,5.54
7150,Vural,Pisa,C,8,5.81,5.62
4374,Walukiewicz,Sassuolo,D,22,5.82,5.77
7181,Wesley,Roma,D,21,6.1,6.43
6434,Yildiz,Juventus,A,22,6.52,7.61
632,Zaccagni,Lazio,C,19,6.0,6.26
5527,Zanoli,Udinese,D,19,6.05,6.29
608,Zapata D.,Torino,A,13,5.62,5.62
554,Zappacosta,Atalanta,D,20,5.95,5.9
6575,Zaragoza,Roma,C,0,0.0,0.0
6212,Zarraga,Udinese,C,4,5.75,5.62
7335,Zatterstrom,Genoa,D,0,0.0,0.0
7274,Zè Pedro,Cagliari,D,8,5.62,5.56
7169,Zelezny,Roma,P,0,0.0,0.0
6211,Zemura,Udinese,D,9,5.89,5.78
5998,Zerbin,Cremonese,C,17,5.79,5.88
5761,Zhegrova,Juventus,C,7,6.07,6.07
152,Zielinski,Inter,C,16,6.44,7.25
7260,Ziolkowski,Roma,D,7,6.07,5.93
4433,Zortea,Bologna,D,17,5.82,5.85
